invoice_month,account_id,subscription,service,resource_group,resource_id,region,usage_qty,unit_cost,cost,raw_json
2025-04-01,acct-1,sub-1,Networking,rg-prod,res-0000,eastus,33.058,0.869,28.72,{}
2025-04-01,acct-1,sub-1,DB,rg-dev,res-0001,southeastasia,9.178,22.665,208.02,{}
2025-04-01,acct-1,sub-1,DB,rg-prod,res-0002,westeurope,44.039,2.503,110.23,{}
2025-04-01,acct-1,sub-1,Networking,rg-staging,res-0003,southeastasia,2.251,101.657,228.83,{}
2025-04-01,acct-1,sub-1,Compute,rg-dev,res-0004,southeastasia,18.861,15.028,283.45,{}
2025-04-01,acct-1,sub-1,Compute,rg-dev,res-0005,eastus,22.442,1.792,40.21,{}
2025-04-01,acct-1,sub-1,Networking,rg-staging,res-0006,westeurope,35.779,2.048,73.26,{}
2025-04-01,acct-1,sub-1,Compute,rg-staging,res-0007,eastus,9.171,33.078,303.36,{}
2025-04-01,acct-1,sub-1,DB,rg-prod,res-0008,westeurope,5.219,44.836,234.0,{}
2025-04-01,acct-1,sub-1,DB,rg-prod,res-0009,southeastasia,40.022,2.767,110.75,{}
2025-04-01,acct-1,sub-1,DB,rg-staging,res-0010,westeurope,41.16,2.005,82.52,{}
2025-04-01,acct-1,sub-1,Compute,rg-dev,res-0011,eastus,29.314,6.909,202.53,{}
2025-04-01,acct-1,sub-1,DB,rg-prod,res-0012,westeurope,20.767,6.619,137.45,{}
2025-04-01,acct-1,sub-1,DB,rg-dev,res-0013,southeastasia,5.506,29.395,161.85,{}
2025-04-01,acct-1,sub-1,Networking,rg-staging,res-0014,eastus,47.4,3.175,150.51,{}
2025-04-01,acct-1,sub-1,DB,rg-dev,res-0015,southeastasia,32.787,1.187,38.92,{}
2025-04-01,acct-1,sub-1,Compute,rg-dev,res-0016,southeastasia,25.378,5.911,150.01,{}
2025-04-01,acct-1,sub-1,Storage,rg-dev,res-0017,westeurope,24.032,14.134,339.67,{}
2025-04-01,acct-1,sub-1,DB,rg-prod,res-0018,westeurope,49.305,6.938,342.06,{}
2025-04-01,acct-1,sub-1,Storage,rg-staging,res-0019,eastus,49.246,3.04,149.69,{}
2025-04-01,acct-1,sub-1,Storage,rg-dev,res-0020,southeastasia,33.858,3.848,130.28,{}
2025-04-01,acct-1,sub-1,Networking,rg-prod,res-0021,westeurope,39.579,5.423,214.64,{}
2025-04-01,acct-1,sub-1,Storage,rg-prod,res-0022,westeurope,40.401,1.415,57.15,{}
2025-04-01,acct-1,sub-1,Networking,rg-prod,res-0023,southeastasia,34.931,7.417,259.07,{}
2025-04-01,acct-1,sub-1,DB,rg-staging,res-0024,southeastasia,41.038,5.328,218.63,{}
2025-04-01,acct-1,sub-1,Networking,rg-staging,res-0025,southeastasia,41.405,4.135,171.2,{}
2025-04-01,acct-1,sub-1,Networking,rg-prod,res-0026,southeastasia,33.748,8.823,297.75,{}
2025-04-01,acct-1,sub-1,Compute,rg-staging,res-0027,southeastasia,27.72,6.487,179.81,{}
2025-04-01,acct-1,sub-1,DB,rg-staging,res-0028,southeastasia,31.116,0.427,13.29,{}
2025-04-01,acct-1,sub-1,Networking,rg-staging,res-0029,westeurope,7.18,15.426,110.76,{}
2025-04-01,acct-1,sub-1,DB,rg-prod,res-0030,southeastasia,35.098,3.521,123.57,{}
2025-04-01,acct-1,sub-1,Storage,rg-dev,res-0031,westeurope,1.24,93.5,115.94,{}
2025-04-01,acct-1,sub-1,Compute,rg-prod,res-0032,westeurope,27.029,5.058,136.72,{}
2025-04-01,acct-1,sub-1,DB,rg-dev,res-0033,eastus,46.277,3.012,139.39,{}
2025-04-01,acct-1,sub-1,Compute,rg-prod,res-0034,westeurope,49.282,0.571,28.13,{}
2025-04-01,acct-1,sub-1,Compute,rg-prod,res-0035,westeurope,47.307,2.496,118.06,{}
2025-04-01,acct-1,sub-1,Storage,rg-staging,res-0036,southeastasia,12.15,20.613,250.45,{}
2025-04-01,acct-1,sub-1,Networking,rg-dev,res-0037,southeastasia,32.881,6.16,202.55,{}
2025-04-01,acct-1,sub-1,Networking,rg-dev,res-0038,eastus,26.673,0.678,18.09,{}
2025-04-01,acct-1,sub-1,Storage,rg-prod,res-0039,southeastasia,35.431,5.278,187.0,{}
2025-04-01,acct-1,sub-1,Networking,rg-prod,res-0040,westeurope,39.686,2.396,95.09,{}
2025-04-01,acct-1,sub-1,Storage,rg-prod,res-0041,westeurope,18.677,13.171,245.99,{}
2025-04-01,acct-1,sub-1,Networking,rg-prod,res-0042,westeurope,18.828,8.181,154.03,{}
2025-04-01,acct-1,sub-1,DB,rg-prod,res-0043,eastus,38.801,5.919,229.68,{}
2025-04-01,acct-1,sub-1,Compute,rg-dev,res-0044,eastus,33.226,3.076,102.2,{}
2025-04-01,acct-1,sub-1,DB,rg-dev,res-0045,westeurope,1.366,123.177,168.26,{}
2025-04-01,acct-1,sub-1,DB,rg-dev,res-0046,southeastasia,12.605,20.903,263.48,{}
2025-04-01,acct-1,sub-1,Networking,rg-prod,res-0047,southeastasia,23.404,0.542,12.69,{}
2025-04-01,acct-1,sub-1,Compute,rg-prod,res-0048,westeurope,8.882,3.331,29.59,{}
2025-04-01,acct-1,sub-1,Compute,rg-dev,res-0049,eastus,6.113,21.343,130.47,{}
2025-04-01,acct-1,sub-1,DB,rg-prod,res-0050,eastus,4.517,24.875,112.36,{}
2025-04-01,acct-1,sub-1,Networking,rg-staging,res-0051,southeastasia,36.913,2.858,105.48,{}
2025-04-01,acct-1,sub-1,Networking,rg-staging,res-0052,westeurope,19.383,13.759,266.7,{}
2025-04-01,acct-1,sub-1,Compute,rg-staging,res-0053,southeastasia,21.285,8.932,190.11,{}
2025-04-01,acct-1,sub-1,DB,rg-prod,res-0054,southeastasia,12.11,16.675,201.93,{}
2025-04-01,acct-1,sub-1,Networking,rg-dev,res-0055,southeastasia,26.072,2.722,70.96,{}
2025-04-01,acct-1,sub-1,Storage,rg-dev,res-0056,eastus,21.569,3.353,72.33,{}
2025-04-01,acct-1,sub-1,DB,rg-dev,res-0057,westeurope,18.613,1.285,23.91,{}
2025-04-01,acct-1,sub-1,DB,rg-prod,res-0058,eastus,7.437,19.199,142.78,{}
2025-04-01,acct-1,sub-1,Networking,rg-staging,res-0059,southeastasia,28.583,6.574,187.9,{}
2025-04-01,acct-1,sub-1,Storage,rg-prod,res-0060,southeastasia,44.415,4.164,184.94,{}
2025-04-01,acct-1,sub-1,DB,rg-prod,res-0061,southeastasia,4.347,29.703,129.12,{}
2025-04-01,acct-1,sub-1,Compute,rg-staging,res-0062,southeastasia,26.976,5.971,161.08,{}
2025-04-01,acct-1,sub-1,Compute,rg-prod,res-0063,westeurope,48.171,3.825,184.25,{}
2025-04-01,acct-1,sub-1,Storage,rg-prod,res-0064,westeurope,17.511,6.974,122.12,{}
2025-04-01,acct-1,sub-1,Networking,rg-staging,res-0065,eastus,47.19,2.159,101.87,{}
2025-04-01,acct-1,sub-1,Networking,rg-prod,res-0066,southeastasia,18.537,19.425,360.08,{}
2025-04-01,acct-1,sub-1,Compute,rg-prod,res-0067,eastus,4.089,12.38,50.62,{}
2025-04-01,acct-1,sub-1,Storage,rg-staging,res-0068,southeastasia,26.496,8.28,219.4,{}
2025-04-01,acct-1,sub-1,Storage,rg-prod,res-0069,westeurope,31.946,1.17,37.39,{}
2025-04-01,acct-1,sub-1,Compute,rg-staging,res-0070,westeurope,16.146,17.956,289.92,{}
